id,province_id,name,alt_name,lat,lng
1101,11,KABUPATEN SIMEULUE,KABUPATEN SIMEULUE,261.667,9.608.333
1102,11,KABUPATEN ACEH SINGKIL,KABUPATEN ACEH SINGKIL,241.667,9.791.667
1103,11,KABUPATEN ACEH SELATAN,KABUPATEN ACEH SELATAN,316.667,9.741.667
1104,11,KABUPATEN ACEH TENGGARA,KABUPATEN ACEH TENGGARA,336.667,97.7
1105,11,KABUPATEN ACEH TIMUR,KABUPATEN ACEH TIMUR,463.333,9.763.333
1106,11,KABUPATEN ACEH TENGAH,KABUPATEN ACEH TENGAH,4.51,96.855
1107,11,KABUPATEN ACEH BARAT,KABUPATEN ACEH BARAT,4.45,9.616.667
1108,11,KABUPATEN ACEH BESAR,KABUPATEN ACEH BESAR,538.333,9.551.667
1109,11,KABUPATEN PIDIE,KABUPATEN PIDIE,5.08,96.11
1110,11,KABUPATEN BIREUEN,KABUPATEN BIREUEN,508.333,9.658.333
1111,11,KABUPATEN ACEH UTARA,KABUPATEN ACEH UTARA,4.97,97.14
1112,11,KABUPATEN ACEH BARAT DAYA,KABUPATEN ACEH BARAT DAYA,383.333,9.688.333
1113,11,KABUPATEN GAYO LUES,KABUPATEN GAYO LUES,3.95,97.39
1114,11,KABUPATEN ACEH TAMIANG,KABUPATEN ACEH TAMIANG,4.25,9.796.667
1115,11,KABUPATEN NAGAN RAYA,KABUPATEN NAGAN RAYA,416.667,9.651.667
1116,11,KABUPATEN ACEH JAYA,KABUPATEN ACEH JAYA,4.86,95.64
1117,11,KABUPATEN BENER MERIAH,KABUPATEN BENER MERIAH,473.015,9.686.156
1118,11,KABUPATEN PIDIE JAYA,KABUPATEN PIDIE JAYA,5.15,9.621.667
1119,11,KOTA BANDA ACEH,KOTA BANDA ACEH,554.167,9.533.333
1120,11,KOTA SABANG,KOTA SABANG,582.164,9.531.086
1121,11,KOTA LANGSA,KOTA LANGSA,4.47,97.93
1122,11,KOTA LHOKSEUMAWE,KOTA LHOKSEUMAWE,513.333,9.706.667
1123,11,KOTA SUBULUSSALAM,KOTA SUBULUSSALAM,2.75,9.793.333
1124,12,KABUPATEN NIAS,KABUPATEN NIAS,103.333,9.776.667
1125,12,KABUPATEN MANDAILING NATAL,KABUPATEN MANDAILING NATAL,0.78378,9.925.495
1126,12,KABUPATEN TAPANULI SELATAN,KABUPATEN TAPANULI SELATAN,151.667,99.25
1127,12,KABUPATEN TAPANULI TENGAH,KABUPATEN TAPANULI TENGAH,1.9,9.866.667
1128,12,KABUPATEN TAPANULI UTARA,KABUPATEN TAPANULI UTARA,20.028,990.707
1129,12,KABUPATEN TOBA SAMOSIR,KABUPATEN TOBA SAMOSIR,239.793,9.921.678
1130,12,KABUPATEN LABUHAN BATU,KABUPATEN LABUHAN BATU,226.667,100.1
1131,12,KABUPATEN ASAHAN,KABUPATEN ASAHAN,278.333,99.55
1132,12,KABUPATEN SIMALUNGUN,KABUPATEN SIMALUNGUN,2.9,99
1133,12,KABUPATEN DAIRI,KABUPATEN DAIRI,286.667,9.823.333
1134,12,KABUPATEN KARO,KABUPATEN KARO,311.667,98.3
1135,12,KABUPATEN DELI SERDANG,KABUPATEN DELI SERDANG,341.667,9.866.667
1136,12,KABUPATEN LANGKAT,KABUPATEN LANGKAT,371.667,9.821.667
1137,12,KABUPATEN NIAS SELATAN,KABUPATEN NIAS SELATAN,0.77,97.75
1138,12,KABUPATEN HUMBANG HASUNDUTAN,KABUPATEN HUMBANG HASUNDUTAN,226.551,9.850.376
1139,12,KABUPATEN PAKPAK BHARAT,KABUPATEN PAKPAK BHARAT,256.667,9.828.333
1140,12,KABUPATEN SAMOSIR,KABUPATEN SAMOSIR,264.025,9.871.525
1141,12,KABUPATEN SERDANG BEDAGAI,KABUPATEN SERDANG BEDAGAI,336.667,9.903.333
1142,12,KABUPATEN BATU BARA,KABUPATEN BATU BARA,316.166,9.952.652
1143,12,KABUPATEN PADANG LAWAS UTARA,KABUPATEN PADANG LAWAS UTARA,146.011,9.967.346
1144,12,KABUPATEN PADANG LAWAS,KABUPATEN PADANG LAWAS,144.684,9.999.207
1145,12,KABUPATEN LABUHAN BATU SELATAN,KABUPATEN LABUHAN BATU SELATAN,1.983,1.000.976
1146,12,KABUPATEN LABUHAN BATU UTARA,KABUPATEN LABUHAN BATU UTARA,233.349,9.963.776
1147,12,KABUPATEN NIAS UTARA,KABUPATEN NIAS UTARA,133.037,9.731.964
1148,12,KABUPATEN NIAS BARAT,KABUPATEN NIAS BARAT,105.966,9.758.606
1149,12,KOTA SIBOLGA,KOTA SIBOLGA,173.333,98.8
1150,12,KOTA TANJUNG BALAI,KOTA TANJUNG BALAI,295.833,9.979.167
1151,12,KOTA PEMATANG SIANTAR,KOTA PEMATANG SIANTAR,296.667,99.05
1152,12,KOTA TEBING TINGGI,KOTA TEBING TINGGI,3.325,9.914.167
1153,12,KOTA MEDAN,KOTA MEDAN,3.65,9.866.667
1154,12,KOTA BINJAI,KOTA BINJAI,3.8,10.823.333
1155,12,KOTA PADANG SIDEMPUAN,KOTA PADANG SIDEMPUAN,137.375,9.926.843
1156,12,KOTA GUNUNGSITOLI,KOTA GUNUNGSITOLI,132.731,9.755.018
1157,13,KABUPATEN KEPULAUAN MENTAWAI,KABUPATEN KEPULAUAN MENTAWAI,198.917,9.951.889
1158,13,KABUPATEN PESISIR SELATAN,KABUPATEN PESISIR SELATAN,-158.333,100.85
1159,13,KABUPATEN SOLOK,KABUPATEN SOLOK,-0.96667,10.081.667
1160,13,KABUPATEN SIJUNJUNG,KABUPATEN SIJUNJUNG,-11.827,1.016.056
1161,13,KABUPATEN TANAH DATAR,KABUPATEN TANAH DATAR,-0.4555,1.005.771
1162,13,KABUPATEN PADANG PARIAMAN,KABUPATEN PADANG PARIAMAN,-0.6,10.028.333
1163,13,KABUPATEN AGAM,KABUPATEN AGAM,-0.25,10.016.667
1164,13,KABUPATEN LIMA PULUH KOTA,KABUPATEN LIMA PULUH KOTA,-0.0168,1.005.872
1165,13,KABUPATEN PASAMAN,KABUPATEN PASAMAN,0.42503,9.994.606
1166,13,KABUPATEN SOLOK SELATAN,KABUPATEN SOLOK SELATAN,-123.333,101.417
1167,13,KABUPATEN DHARMASRAYA,KABUPATEN DHARMASRAYA,-1.05,101.367
1168,13,KABUPATEN PASAMAN BARAT,KABUPATEN PASAMAN BARAT,0.28152,9.951.965
1169,13,KOTA PADANG,KOTA PADANG,-0.98333,100.45
1170,13,KOTA SOLOK,KOTA SOLOK,-0.76667,10.061.667
1171,13,KOTA SAWAH LUNTO,KOTA SAWAH LUNTO,-0.6,100.75
1172,13,KOTA PADANG PANJANG,KOTA PADANG PANJANG,-0.45,10.043.333
1173,13,KOTA BUKITTINGGI,KOTA BUKITTINGGI,-0.275,100.375
1174,13,KOTA PAYAKUMBUH,KOTA PAYAKUMBUH,-0.23333,10.063.333
1175,13,KOTA PARIAMAN,KOTA PARIAMAN,-0.62682,10.012.047
1176,14,KABUPATEN KUANTAN SINGINGI,KABUPATEN KUANTAN SINGINGI,-0.47532,10.145.857
1177,14,KABUPATEN INDRAGIRI HULU,KABUPATEN INDRAGIRI HULU,-0.55,10.231.667
1178,14,KABUPATEN INDRAGIRI HILIR,KABUPATEN INDRAGIRI HILIR,-0.33333,10.316.667
1179,14,KABUPATEN PELALAWAN,KABUPATEN PELALAWAN,0.20822,10.218.607
